col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
34	4	0	1	0	0	123	0.0120	0.0088	0.00023	21.184	0.044	0.940	0.947	0.008	0.433	0.034	0.000
41	4	0	1	0	0	113	0.0120	0.0088	0.00023	7.810	0.128	0.998	0.999	0.001	0.383	0.034	0.003
43	4	0	1	0	0	118	0.0120	0.0088	0.00023	15.212	0.067	1.024	1.025	0.001	0.483	0.030	0.000
48	4	0	1	0	0	109	0.0120	0.0088	0.00023	12.106	0.081	0.985	0.986	0.001	0.350	0.022	0.000
45	4	0	1	0	0	105	0.0120	0.0088	0.00023	13.822	0.066	0.906	0.916	0.010	0.350	0.029	0.000
46	4	0	1	0	0	116	0.0120	0.0088	0.00023	22.476	0.043	0.964	0.965	0.001	0.450	0.042	0.000
46	3	0	1	0	0	80	0.0120	0.0088	0.00023	23.274	0.026	0.603	0.603	0.001	0.367	0.183	0.000
42	4	0	1	0	0	122	0.0120	0.0088	0.00023	10.188	0.099	1.010	1.011	0.001	0.450	0.057	0.000
47	4	0	1	0	0	114	0.0120	0.0088	0.00023	19.345	0.049	0.951	0.969	0.019	0.483	0.032	0.000
16	3	0	1	0	0	134	0.0120	0.0088	0.00023	22.093	0.050	1.101	1.103	0.001	0.533	0.123	0.000
10	3	0	1	0	0	163	0.0120	0.0088	0.00023	5.053	0.198	1.001	1.002	0.001	0.433	0.119	0.035
0	5	0	1	0	0	107	0.0120	0.0088	0.00023	11.855	0.084	0.993	0.998	0.005	0.400	0.037	0.000
1	5	0	1	0	0	109	0.0120	0.0088	0.00023	17.097	0.057	0.979	0.980	0.001	0.400	0.024	0.001
5	5	0	1	0	0	116	0.0120	0.0088	0.00023	18.393	0.054	0.997	0.998	0.001	0.483	0.073	0.000
2	5	0	1	0	0	113	0.0120	0.0088	0.00023	25.937	0.038	0.985	1.007	0.022	0.383	0.023	0.000
44	4	0	1	0	0	115	0.0120	0.0088	0.00023	42.636	0.021	0.899	0.900	0.001	0.450	0.047	0.000
6	5	0	1	0	0	118	0.0120	0.0088	0.00023	18.246	0.057	1.039	1.040	0.001	0.467	0.081	0.000
8	5	0	1	0	0	125	0.0120	0.0088	0.00023	15.878	0.060	0.946	0.959	0.013	0.483	0.040	0.000
13	5	0	1	0	0	114	0.0120	0.0088	0.00023	7.194	0.118	0.846	0.880	0.034	0.433	0.057	0.000
21	5	0	1	0	0	119	0.0120	0.0088	0.00023	15.865	0.059	0.944	0.954	0.011	0.433	0.023	0.000
12	5	0	1	0	0	107	0.0120	0.0088	0.00023	8.793	0.095	0.838	0.868	0.030	0.417	0.057	0.000
30	4	0	1	0	0	121	0.0120	0.0088	0.00023	19.070	0.061	1.157	1.158	0.001	0.467	0.136	0.000
22	5	0	1	0	0	107	0.0120	0.0088	0.00023	13.842	0.068	0.942	0.946	0.004	0.350	0.024	0.000
16	5	0	1	0	0	128	0.0120	0.0088	0.00023	10.939	0.095	1.038	1.039	0.001	0.433	0.050	0.009
25	5	0	1	0	0	110	0.0120	0.0088	0.00023	15.272	0.069	1.053	1.054	0.001	0.450	0.043	0.000
11	5	0	1	0	0	131	0.0120	0.0088	0.00023	16.895	0.057	0.959	0.982	0.024	0.517	0.067	0.000
24	5	0	1	0	0	118	0.0120	0.0088	0.00023	16.309	0.058	0.943	0.944	0.001	0.383	0.036	0.000
28	5	0	1	0	0	112	0.0120	0.0088	0.00023	11.119	0.081	0.904	0.905	0.001	0.350	0.041	0.000
