col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
33	5	0	0.0084	0.0963	0.4688	0.5667	1.5740	0.0049	0.0091	0.0002	1	1
36	5	0	0.0017	0.0287	0.4062	0.4667	0.4566	0.0060	0.0022	0.0002	1	1
30	5	0	0.0360	0.2020	0.4688	0.6833	4.8115	0.0300	0.0300	0.0002	0	1
37	5	0	0.0447	0.2492	0.6562	0.9833	6.1672	0.0300	0.0300	0.0002	0	1
39	5	0	0.0011	0.0328	0.4688	0.4833	1.0729	0.0089	0.0127	0.0002	1	1
3	4	0	0.0015	0.0240	0.4375	0.4667	1.0299	0.0073	0.0061	0.0002	1	1
42	5	0	0.0062	0.0413	0.4062	0.5333	0.8184	0.0017	0.0056	0.0002	1	1
28	4	0	0.0064	0.0440	0.5000	0.6000	2.6779	0.0169	0.0114	0.0002	1	1
46	5	0	0.0009	0.0182	0.4688	0.5667	1.4234	0.0000	0.0048	0.0002	0	1
41	5	0	0.0061	0.0705	0.4062	0.4000	1.0612	0.0225	0.0087	0.0002	1	1
2	6	0	0.0017	0.0093	0.3125	0.3833	0.4845	0.0000	0.0023	0.0002	0	1
30	3	0	0.0013	0.0247	0.5000	0.5167	1.6324	0.0122	0.0092	0.0002	1	1
48	5	0	0.0535	0.2861	0.5938	0.9667	5.5897	0.0300	0.0300	0.0002	0	1
43	5	0	0.0114	0.0828	0.5625	0.7167	3.3075	0.0263	0.0255	0.0002	1	1
4	5	0	0.0082	0.0600	0.5000	0.4833	1.6116	0.0000	0.0122	0.0002	0	1
8	6	0	0.0024	0.0352	0.4375	0.5167	1.5248	0.0000	0.0094	0.0002	0	1
13	6	0	0.0010	0.0248	0.3750	0.4333	0.6502	0.0000	0.0090	0.0002	0	1
5	6	0	0.0013	0.0165	0.4688	0.4000	0.7002	0.0050	0.0089	0.0002	1	1
6	4	0	0.0031	0.0368	0.4062	0.4667	0.5720	0.0178	0.0037	0.0002	1	1
9	6	0	0.0013	0.0398	0.4688	0.5000	1.0994	0.0000	0.0111	0.0002	0	1
3	6	0	0.0021	0.0278	0.4375	0.3500	0.6882	0.0099	0.0087	0.0002	1	1
4	6	0	0.0114	0.1011	0.4375	0.5500	2.2069	0.0210	0.0131	0.0002	1	1
16	5	0	0.0109	0.0578	0.4375	0.5167	2.2337	0.0000	0.0055	0.0002	0	1
16	6	0	0.0018	0.0313	0.4062	0.5333	1.3011	0.0000	0.0027	0.0002	0	1
23	4	0	0.0096	0.0755	0.4375	0.4333	1.2016	0.0143	0.0073	0.0002	1	1
14	6	0	0.0011	0.0349	0.4062	0.3833	0.4454	0.0066	0.0115	0.0002	1	1
22	6	0	0.0010	0.0184	0.4375	0.5500	1.4862	0.0044	0.0066	0.0002	1	1
